"評論者名稱","評論時間","評論星級","評論內容","評論圖片","評論者個人資料URL"
"王爫_盡量評論有菜單","3 週前","4","非常多人排的滷味店,內用需要排隊，外帶可以直接進去全種類的蔬菜都是秤重，所以都是一樣的價格其他肉類或是火鍋料之類的，價格稍高一點 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn2tid-PPAiLyLrrYHcfe52Amc5EPCMK8QASLNnT11P2DWiL1EEyvEdB9HJtpifQB0A8aDAhZYrwTVzceuYF6-AaYiLlp91EjOU0YqgejR5xDTmQOxvKlWiwT45dyaGMVFui6ckBEVSz0cWJ=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0CWXQ91buJHwqEchsYrESkOoJ0X7RnpErfZfVYq9HRgggrsZ7I_kmnY07P9X9XiZ9eD5HDdYjlJb2oflmO5uVo3Rm5EBNMLEEEruIxdh_67JxE6Jdc8mu_En2Xpuw0hBPZPcBrQDrhTNnr=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2XTcbumFQuDzTTMhtsxtu-ElbHRSNC3uIK3jikZyap1_T2y3LRoDRzyqZ6dHppljdq8z-mYVPXeymAQrdfl5gXd_0jPLjSb6qfyfJbEnjQOz0VaOyCrPEpPtnEQM4iPG0hRoSULMJDfAY=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2M7Fi_tnXTfkEmmPnnKDPLLHvKZdnAdFnBP82EO1g5eDxsAoIRUM7kHmW9eY02cgS4ODL_hjb8uzPEAhmF8UpHlQLNVu7VNXzSjoGVNTMc2rLAdvZgERmE9tJr1eclxx4shTdnCsnjCe6O=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0iKWE0kqaUP44qn6d7Ju7WL6e-9A4cjpA-zPsentdRmvFzB6RTdwX8ZCtISrHNFzdTTdzQl8F7ULDGm-ASKs1kLvChoYRpe2twEp2A9SIXRUULL1yDrThVP-H4RLJwUri1xGItNgpBElH5=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn02i8D4OjryCCAwS_gP2mWuPOYyGg_heFEk4RkgX1EPdzpGld7wt2un9xsouph7qUM66YVqGuX74X24UqFdmNoqvSkX0LKLst0rLVEe31jxbkxo_KyqbdJWMnTSCnczIV_mOG0IdOLWRjNt=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2zRyTZhNXXL4PCk_fV8UudTDJSPuY7U0b9ugeiRCSv3mEu_aa63BEdAudIa7EEGBQF4lxY3SC8zeM33kgKxmIZ0xZTq4TJAEzY-3hCsXNNOiL69QQZFWNBiJa4Kx3SjBCAZGHI1JMT7RK_=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2fOs-4f0WR_QjRjM4FnYz7wZMF1fOypHKo7PH2ZHZNp54s2Mdtllqy9pkyEi2jzV7v_szA_LdwDdeNWB1WPcbZ4ZunVuVUcUCojDS9gety6n6o13gdcXp7QC5L0NIEm28vZRIcOhrKqQI=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3vWNdJelfUH4JpPKd7lT3v75eanuojmr7a-ZVxw4wLt4caHsO-JHH5_lS2TdPtkbrDbedO-Co0gz0pcIUndNXWNrvEWA7pMFJd80qlbmwTMQoOXa3l7SqcZnDCH71lzv7k-lfZH6Il5n9j=s196-p-k-rw","https://www.google.com/maps/contrib/114211160925783902181/reviews?hl=zh-Hant-TW"
"陳品妤","3 週前","1","誠心建議夾子回收籃可以設置在結帳前的位置，本人可能太無知不知道夾子在結帳前要先放回身後櫃子上的回收籃並在店員提醒第一次的時候錯認為是在告知前一位客人且沒有意識到在跟我講話，導致店員第二次的大聲提醒，但真的可以不用這麼大聲啦嚇到我也嚇到其他客人了哈哈😍一顆星給食物蒜味很喜！","","https://www.google.com/maps/contrib/103022926811718071693/reviews?hl=zh-Hant-TW"
"Kiki","3 週前","5","此生第一次愛的炸雞 梅醬炸雞超級好吃救命滷味的青菜也都好好吃","","https://www.google.com/maps/contrib/108542798352225748567/reviews?hl=zh-Hant-TW"
"uu Fu","3 週前","1","","","https://www.google.com/maps/contrib/107145285883351705031/reviews?hl=zh-Hant-TW"
"Jimmy","3 週前","5","餐點：服務： ⋯⋯","","https://www.google.com/maps/contrib/103441837159833195635/reviews?hl=zh-Hant-TW"
"黃佐甯","3 週前","4","以滷味來講沒有很貴但加上飲料就會蠻貴的特別麵蠻好吃的 ⋯⋯","","https://www.google.com/maps/contrib/114618015910821818088/reviews?hl=zh-Hant-TW"
"林君翰","3 週前","5","滷味蠻好吃的 油蔥香拌麵鹹香鹹香 飲料波霸給很多 整體來說還不錯訂單類型： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1aS-WRTpjT1IvhKUXkxhjNA1XeP-UmLWGC6UgV4SOwQ1ugjZc2G82_sJ0y5jshXGDg8w9a4dRhzMezV4Gu5808dj2JUthq6vfaC70501eTFYqdCOzRbkZVSrxsN7vuKjA7Aq4lvMkKzI0w=s196-p-k-rw","https://www.google.com/maps/contrib/114306867247150813056/reviews?hl=zh-Hant-TW"
"R3","1 個月前","1","喜歡等待的人可以到訪客人很多內用需要等待叫號才能進去點餐 ⋯⋯","","https://www.google.com/maps/contrib/103616998035469163165/reviews?hl=zh-Hant-TW"
"冰淇淋","1 個月前","1","貴死了！餐點： ⋯⋯","","https://www.google.com/maps/contrib/110736209655929702387/reviews?hl=zh-Hant-TW"
"Show","1 個月前","4","滷味口味我喜歡麻醬麵、潑辣麵也好吃配的辣椒很好吃一定要挖一碗✨😋 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn2zJPpuc1idzSjTtZk7jBkmjn9-c4UHnDTYsUC-9OEa3yEx3lzqMrhnQ32y41zpYNC6Mov6iObvBkDuq_5k6UKjbuimYE8Ajz0alLMfyP4C06FiHN_bbBRoqoHUhXyLfajaEuO_X04c4DVY=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0BI-alO7BRUlW39wb3gcMyM8wf0p0I41YSXLyKnPXquf2kMsKo_x8RcMlvMYeya0lVXGmpbA_j3Qyh1DjrClvhm99xe1bum1Q5r48Pa1_hetyFRO_0SFE0G7eftISH-Ll-k0vQC-n-_S_H=s196-p-k-rw","https://www.google.com/maps/contrib/117451840604973183509/reviews?hl=zh-Hant-TW"
"Shan Yu","1 個月前","4","好ㄘ餐點： ⋯⋯","","https://www.google.com/maps/contrib/112123115525546136469/reviews?hl=zh-Hant-TW"
"Thomas 湯瑪斯 (湯瑪大挑戰)","1 個月前","1","生平第一次排位子超過一小時。不是吃什麼高級料理，還只是個滷味攤。 ⋯⋯","","https://www.google.com/maps/contrib/118343085880846479041/reviews?hl=zh-Hant-TW"
"吉良廣","1 個月前","1","你明明可以直接拿走我的99塊卻要送我一盤醋遛肉 ⋯⋯","","https://www.google.com/maps/contrib/113194244696885364718/reviews?hl=zh-Hant-TW"
"Tomato","1 個月前","5","東西好吃 老闆又很帥","","https://www.google.com/maps/contrib/118412660426760866308/reviews?hl=zh-Hant-TW"
"Roger","1 個月前","1","請各位不要點什麼破爛醋溜肉 這一小盤賣99塊不如去小上海爆吃一頓餐點： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn3ozvwh5cFUiX1XvhMKb8gKAwxszGAFbgJ8HJjrjILvd8ufwpjOEt6opYePg4igj74A6Lb54oqgMG40R37R-_oPq134q3fpaFYroGECRkvFZ7KvFYSOdMfIzu_5Kdyd_O-wr4CAmwpozxZ1=s196-p-k-rw","https://www.google.com/maps/contrib/104794136681517815170/reviews?hl=zh-Hant-TW"
"Jason Chang","1 個月前","5","沒有訂位喔，裡面位子蠻多的現場應該都有位子，店員推薦的黃金炸翅刀果然好吃，魯味平價，波霸奶茶微糖就很甜了，辣椒醬果然夠辣真爽訂單類型： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn3LGC8_7iHcz7m8og3gEdrz_IXKiCWjDuP96vL7pFUgk00UkyiB0TabY6quCm0UjNkIvnnGxNAYV_FUdTRgeneFhfEWWt6CjF3J-pgYwr77kOref1u7jxre5Y0DuczrxksJ69Lxmxq9W1I=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn13RhSCy0VeDCUM5r_WJY0cCE_VFEzWvYt07dI21L8OdIFARvtOAfSylhpITwR10dWg7cURmoVwuFkvgIA0knLEfhV-BdVzw1gujqGY_R4TlQRZe3koUIz01DVXbSuw2Hp_YHICB-Auypxs=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1FYU1CMSADs_8E03H1LG2aFHASFmbLsThyCakNxxNvx-jAew_34ONhtYrYhS_urTUOLocQIOWiQxBgORPB4uQaMv1bYlk5njPRQA3jvR2NwIse2ccQeMlOLlhT8VXKz5ZXzAqk80Cf6A0L=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn291Kfo2hV4_kXlKEAbfrnvkRIsZhxWWOdrazD16b3VrdFfsZvXUuqRBKpv5fKiRKvOZgK0koYrCufGl8AKNn1HHHOj30oPMiUn9s3Ua0PgZrVanhzgdsdv76eYPLidq9E6TkxY5pM-yovZ=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0vDEbugP7Sv59mKDFClYCxI1_vKKJJFIqmDYDy_c9PrTbmYJ5txfzlzRe2vFUeQMrQyqtgw95pMt0UGj2Z09kF6AL8vyN-H6qO7sH6PMSTtAPaWEbZNl0xHipUHLcnnIRqrEdNjBfwoKs=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn34amLEQU2sqTvDTjoX_mxwMrqE4QpHyjRsWP6_QgN2_FTJEuZ7xoQbzzmAhvNSX9nHQPUW6jw3fKzO56NZ2Q0kDAY_UGcFHGXfIIoURfhvPpH3UKuwXjygkDPsO5V-AAd9GqsdsG4SkvU=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1FKJKpS-ggDNoXuv_AUIaBuUHq6F2trj2-8ezEcVhGXzb_ob2USsolglotcY62mZEqOe6qF6coywpg6fsawX1k__qD1sBlU85vADkwrCFL1riJXrth0ioXpLwlC7Oo9nj0YrIDsgMRxMB6=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2BtBFBJUELji8kLmdN6GGWUsCSGvIH-9D6yyB_nBO7mya_scQPuiyrSKeDaMccIVt80cwalnXx8t2CWdVKFhh3ohADdMjKgxj2BePz64eZKMbClAWafvhq9zwAs3WmOS2zRHnOhtj5WA8=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2Br0fibK5vYbjY3AekESL3V8WcYvvoOuF04HPomd_WGqtCtnz2dlRHYCd4pFuqeC66RotzldARc_sNepbKhyOD8sCBo8gOieJtFvamHBF23pOjFWdjyhiS0inUaaDqLtuQmxJy-vfHWVAj=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1mnNzpkfsWtDRzzXszMaV8Ejhx2Xh_5pMWrO7Aoc8O8atIwhBiLISnK0pCj4NgJlFeqPjdDI8GwE3PnxQpNayJD-puWwG3m9J4W5wbh5iKRHCVPlQw46xQA8XzXTx4bw6g8CHNHRiwmL6D=s196-p-k-rw","https://www.google.com/maps/contrib/106820535393389017590/reviews?hl=zh-Hant-TW"
"陳劭威","1 個月前","5","","","https://www.google.com/maps/contrib/102509253384668068454/reviews?hl=zh-Hant-TW"
"Hsieh08 Hsieh","1 個月前","4","結帳流程繁瑣擁擠，食物還行訂單類型： ⋯⋯","","https://www.google.com/maps/contrib/100819756785394477573/reviews?hl=zh-Hant-TW"
"C54121169吳秉諺","1 個月前","5","不小心給店員添麻煩，謝謝店員耐心的幫忙處理。訂單類型： ⋯⋯","","https://www.google.com/maps/contrib/113059646366737486013/reviews?hl=zh-Hant-TW"
"YuShan Zhang","1 個月前","5","","","https://www.google.com/maps/contrib/106090055644833684465/reviews?hl=zh-Hant-TW"
"陌尋","1 個月前","5","訂單類型：餐點類型： ⋯⋯","","https://www.google.com/maps/contrib/107415314093890834856/reviews?hl=zh-Hant-TW"
"Emily Chen","1 個月前","4","餐點：服務： ⋯⋯","","https://www.google.com/maps/contrib/114011411735570779783/reviews?hl=zh-Hant-TW"
"Ching hsuan","1 個月前","5","飲料很大杯冷氣也很強 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn3lP9e5BRU-E7iD6bojtHqEBzfcPHcSEl2bG3sp-pgyrQ-xDkupvnNl6aDzevSJWNK3ZX_iaxOhfIzGJG32BpfMhS1ZYrJFisQ-JSHi67QNC93zueDAA6UMUtpEIQC4h25Wxm3dIAi40oit=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2LZQWzTo7wr5H95DPbUK3vEZ4ClGeNVssSDhWgSKmHAdW6v4PaMVJKMtx8ktt9E-yc6X_zyyLStlPwYDsaRpePHTqjhBkV_34kXZXtCY5AwPIeAnU7EguZbUWgjyLb-_-khlHB_Udptvd2=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1vS7Z5XSKpZB6LdZcRyNsa3lHF2haqj4T6ZJxYPIjfGQgmw_xLVAfhqofdfO2G7m6SdhsSeKi3m1Wr-TZ0zH-WHj9yk4rPxPjdmPliydoEL4TiOSqNA5GEdPCJ4h4Tph9AuUI3yb6as-g=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2PV2GwIy8g5RrZ6SIAdcnTjFXSCorIwTjPLxgS6oGSxsC_SZbNTTaAhulyJfJlrYQrAMRYKGpFF1TkHYrGN-m8quPsmyfXPxTZj3w_ir7NEZQ9k53N2dU3YOvr7V6G89DugrL0R0fbYtI=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1vHaECFoERM8ODt95_uxY-QE71-3yCkCUa9YeG2jNI5OghCyXOrKPnqceWxtBy0JxDrzYcJ98rvWLabAg3p5wktXLtpIkHpNKx4y_Hrtqh3rYHagLMJhmw_bQMRmhoKEAAknNO3yFOl5dL=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2cEYW1ooG6iSmLwYUSuGGV8PPOQPBOdJvAhm4wgbUOzAMk25VPECwSjxg6VPug9_BUb-J-1wQMNeddqykZvXZpvv78r-cQX2PNrhywRsnT0GcUsy_4UboHXNwNyBPGaL8KH-TLp6UBVNUh=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2DI3uKwhMibeW05F5wDe10gsibpv_jj9OCUTzMff5PAQIzF72G1uHRz1OhOVys5JjO6ye-37ZXvyOX71c1Kw2pHn5b23KWb0DltqQ6XaDK6BqJBOclTUbR-oQMxnmgP3k76kWZpiG3YsZg=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn34lC3ABbnu2Nrq1aH2StOmQj9Ja_sBcABUUs8_Zs0CJRhvXFWt1nUODJxjGvRzvoCmIqtjPMzIY-an0GXHMJeBXU4FE6gLp1o82sNU3X8mfCF0Iqgnk8SPLIitWz0UPvNVwgmWZRo-onR7=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3l8ix8gW1FeFIq-r_LMO4MntPvhHx3vdu8RCJzo1zUV5Mei7GyeKE0cUqhfF2PzWTRRgiUFHlv8BIvngvM8NDu6EX6PDahLKnl8e6hDIMjMpIWA0AzLDc2jI8rLcrNgGbJllPz5ZnAu2Y=s196-p-k-rw","https://www.google.com/maps/contrib/102153025138814708675/reviews?hl=zh-Hant-TW"
"皓爸","1 個月前","5","2026.04.13 造訪魯味為主，麵跟飲料次要.. ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1OLPIQLVHg16gi2_CMA6OPZpEakP1xRd-XhxVd8BGhxUuto5Lg_9_SMBhcswsIHOFDzWx9YfFSZevQuzNEWn5XEGGTyMgLTcYaM089yeknH8jibO9QN8C_s11yEoAWjs1payxGFBjXvG-1=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3WbJ7Te9DEHBYT2WshyEVlXHcPDTyqBIN3f1z25d7ZKAv4r1GH79puTgd_3Z2vYlbubEjG_RdxDI_7q4LrfzZjy8z1hvJ6L6a9uBGlWvzt5eKc3u3ZBb_FM83Atzjk-bYXEmqileNrWOo=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3EUoheLXmRX4vHrPblJGn_qMShOCKYa-5OByL9OybN37ctQLep2XoYA_GSlpvw8zAzIS00mQrRCptN18vz4h6mipmsuqfv6SEIX7URrXnrCNpPMMu1-TEQKVSgjde80tW9kL6praJucSMf=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn25FEYc2JE98sBBar5zn3Zu3VGKMp660BqKC-zRC5icvo9FgsIIvzv1gZ4bIlZ4tmFkbJ_vZ5BBkgRK1E7e-SDqBzwbxjcd0xB3P4v8Dl-dD4xUKwGZttpIJ5OEgvbnx5EssgcJ2DHYh8T8=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3cN3ebjLrEB1VS83rcdVfGUfLk8YhLlMqmrHQLTKEANDMEPXwt7K0JrfylrFEQc6Ro4OIwZ6jYyGc7y_Pg6nNDGrz2JXsLLGD1z7KrecuoZYeFw3f4XMtECDlXjzhNtmcQXGho4yFVhaY=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0EIDD4surL9nyqgWA7cT_VXoSmRd1k2-M19bGTUnPbo8wJaMaLs8VngZOs8lLNUeVKleTtEH9UbbGnfmBmCtbvW2jJqAIbZcllATte9YzHjo0Bmzl8yM3gJO9oWzTO8-LJQqKztERv7WLK=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0I1gS-1PX-CbZ_i6KjXs0YFxu2qu4fzC7uzdmEkQBPnu48WHHzzqKLIlg84NYvP6lBDOgrrPfxYfLdJSmpFWjyZwnzPwGkP1XsouU55yBW99zFprKHinf753EX2mTPAk1T6BdcPfVA_RrN=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1IlVih1_GFG3HushNtsatAkXYIEfThKbbfvAnnABlFXd7WqA93mymHRnulxJcxc97pm2eC2Aa2RFCe3gWrYjPxo8vRTh4WaNf-JwvqF2-z3FAq57Q2kYIh__L9OpRJUpLERLm_Du61TaGK=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3lKamURz0ehvXxEjlQRKfS2atImzyr9Hs45gEvZCGr8z3NZaMRr-kup9WJ341lXRA9BPadvFPGrq8BY6tAWwNEKBLiJ2MMVWEFwD7Rpocf2cY0TGCyrBNPrFtROo8NyTRO8ELrPhssHv_q=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3PixrbrXgCzbxVv3H8Gb_w3htHCMErjch1DIpftZJki-oDTOxgWEgerC5Eq0iS8vLzbQxm8x4PV95-3XzV1IVGGf2PJDbnhMJCEufxjpvBtBhceDUkezE2NOug4Y8NZ-XNj590RLTBUhkw=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1-KxBpCwWw0zCuSLYXi2yxRZ2n9FgPPYDQIEiTgKW2g5ZxZ6qifL-46q3Yt7-5fq9nINlVqozSKPnfM-hLIV1mWDSF8lZfMUzq8CaNk-HzeoRV0QAYHerEi8_nkqNZE4Urptb47JsjarDb=s196-p-k-rw","https://www.google.com/maps/contrib/116801760776502797411/reviews?hl=zh-Hant-TW"
"Diuby","2 個月前","5","價格親民 好吃 炸物也很厲害 飲料也好喝訂單類型： ⋯⋯","","https://www.google.com/maps/contrib/111303528472199475926/reviews?hl=zh-Hant-TW"
"Yupz","2 個月前","1","說真的叫滷味 我真的不懂滷味在那裡...食材是有看到有滷啦 然後酸菜沒味道可是是食材都偏黑剛滷起來的油亮感都沒有 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1YhBSf3Rsgh8xgvCVWgT8iWPNusWqQJpZ95jhiuiR2Co5HqUdT0BrN9vMctrWhF2H-9o6QhRITBHH1PJ5ioqITDKiLkD-IgI9xUWxcvMfY8HuxP7rKpJ_WqZBS8fGwFnuJKGpIb_u-LgQ=s196-p-k-rw","https://www.google.com/maps/contrib/114737859050472259087/reviews?hl=zh-Hant-TW"
"羅翊瑋","2 個月前","5","滷味還不錯但覺得飲料比較厲害珍珠奶茶真的推👍 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1dy5C2qfMCiak4Y96zR3KT7ATeOKhQ1nUYIfkviMNO5dZAXxD5p_67jDk-jY9OcY9yeCRnVMMQMSb89spvOR0-xKvRv2N3Y3AfkRh-qt9tYfUcQbScorUUXktBdnr1nw3bMYSbCB-Fu8g=s196-p-k-rw","https://www.google.com/maps/contrib/117682137356955280850/reviews?hl=zh-Hant-TW"
"帶著夢想去旅行","2 個月前","4","口味不錯，食材吃起來乾淨清爽不會覺得油膩或者粉粉的，調味醬料味道也好。整體而言滷味的美味程度非常好，很喜歡。 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn2l6yHI-2iGXzky5gH6K-6Hnsq5tqnCTmgu6LpA6K85MQFDnvvj3FYfVztawVOM80DKZN8LHVFcqtnLAFTNRNJjNKc-9kR7WFNxoWepIbtANfAikL2gm8Wwc2nnYgZ73eDDtcap9l4N5Qg=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0mog45eLeNYxip4O1MmgbKhdNZKIvMHPsDVqFgeyjeO3PW5KAT_7vBCOa6D2B8tMRfKL165xAw8x2H0vAQhPp7YVfx9PLqw3C8b6B86QPxs4bFg53m3pyAyYDS_KLv4D1aOjotjpSLI8c=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0GMKiylYGelppCyi0eExm1hp3H58JMbFmDsgZQaOcvUfIvLNQ3SPKPzyI37Jckf2D-LTPV6vwEUp3Wjj1okTJo2TfmnQd6kIG3LFoG4jHt9xM93hgqdWWNpNRPnqntPpujMtLomH_TX6kY=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1F6w-dv2Gle6CXVIswavMLE8Ggva2Ivt4JI_9D6jAaEKIyLVxOnjjQ_Z-3TKP1u2AHeH9VtYVoTc4zJxanNoP7kkxhZvqgHSe9-f6LkhJWeXJ7PlWeYozlE0zdLFCV4chZzuns9gUTczA=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0jqK9Xh5tyy-GGTdAyg1LxrvcCFAr0nwFxFa4IBmHzSm93O3Vdknb2MAEe-w4FjpsZicVjiB06NRHC_i2DE1R01mwZVvN-6oJT4aCSP6Hkq-PitxSP83gIFZUF0PP7GRRUlfaz5cGKavAD=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3Uat4-ABI29-Qshbrgk4muo1vM0dGLNPgpJouejHB_VHfc4fQj-9jj9Tmo0QwVuHf3DqmoWkHRsjv_hCLTqh15GSS1xMAFuWgw3TiyjAzBmdqNxQ-lQ7tha_ZGc4s6uVheo_xQAP3ySeZG=s196-p-k-rw","https://www.google.com/maps/contrib/101571078952378344640/reviews?hl=zh-Hant-TW"
"Liang Yves","2 個月前","5","有點小貴 但飲料很好喝訂單類型： ⋯⋯","","https://www.google.com/maps/contrib/115456547768570863594/reviews?hl=zh-Hant-TW"
"Alice huang","2 個月前","2","亂出餐根本沒有點花椰菜 滷蛋 百頁豆腐我的鳥蛋 大小豆乾 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn0Yf5k8N6lFokBAAj2tItkqnpc-BNELk_8Ir47u_NQriLx-OGAiMb7rcZJqalgFZdrpoHaYhN_j2OmqOYFGWuLIlV2hVJ2OWsGVY4FjUwkhpJ12nkLPEfVQEuKsHZ-rY8_yDwmVZNy5EzSr=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn13xSc0bDPsim-dDqKp-sejXowS2g6PHc_8Zh8B0MT51GofQnAaB9KvoK4Ov3vE66y-s4_m67MmOhaLJfWkKXx-bze6WlPPG-z__HJlSNZ7btrti3YPhtNZqGnlpeVte77l-6U60IFX14sW=s196-p-k-rw","https://www.google.com/maps/contrib/110427097142358851035/reviews?hl=zh-Hant-TW"
"李孟軒","2 個月前","5","訂單類型：餐點類型： ⋯⋯","","https://www.google.com/maps/contrib/109630078477262787315/reviews?hl=zh-Hant-TW"
"yw tsai","2 個月前","5","乾麵好吃，滷味的蒜味醬也很特別，飲料的粉粿也很讚😍餐點： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1JIsEN3UhYJooAA-VbtkF1KAvylFnEpXpuumR1V1egvX50PTOKYKelWRfWWCgBNMY12gkZ-4GzG_gTNiTrnPIngWVGE7V432_UQzE4x-LiQ_Kc7DT1KTAX5gvsLM3sDQKglI0CPQC0bCb9=s196-p-k-rw","https://www.google.com/maps/contrib/114820273656518675819/reviews?hl=zh-Hant-TW"
"LOVE","15 小時前","4","這家想吃很久了，終於來吃，滷味超多種，有點難選擇，點了推薦的雞翅、麻醬麵、蔥油麵和一些滷味、奶茶，整體都還不錯，最近開分店，有機會可以去試試看訂單類型： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1Njx2GYuVXoeG4WM0sVX0EhRIntr1r_5RbQGvpu688M5txO8SmH9WRBVRI2Or1Bx9jloo7EJABYufeSrbqXYknU0wiNU8zFvN38zz3CfulPW4WJwkKvQCP4uKULKwwHIGLSFS1tc6Pnyg=s196-p-k-rw","https://www.google.com/maps/contrib/101651489077498038558/reviews?hl=zh-Hant-TW"
